# Girder serial -> type lookup. Serials do NOT encode type, so this table
# is the authority. Add rows as girders are built.
serial,type,notes
DLS0011115,LM,Pre-Series
DLS0011116,MS,Pre-Series
DLS0011117,SM,Pre-Series
DLS0011118,ML,Pre-Series
DLS0011119,LM,
DLS0011120,LM,
DLS0011121,LM,
DLS0011122,LM,
DLS0011123,LM,
DLS0011124,LM,
DLS0011125,MS,
DLS0011126,MS,
DLS0011127,MS,
DLS0011128,MS,
DLS0011129,MS,
DLS0011130,MS,
DLS0011131,MS,
DLS0011132,MS,
DLS0011133,MS,
DLS0011134,MS,
DLS0011135,MS,
DLS0011136,MS,
DLS0011137,MS,
DLS0011138,MS,
DLS0011139,MS,
DLS0011140,MS,
DLS0011141,MS,
DLS0011142,MS,
DLS0011143,SM,
DLS0011144,SM,
DLS0011145,SM,
DLS0011146,SM,
DLS0011147,SM,
DLS0011148,SM,
DLS0011149,SM,
DLS0011150,SM,
DLS0011151,SM,
DLS0011152,SM,
DLS0011153,SM,
DLS0011154,SM,
DLS0011155,SM,
DLS0011156,SM,
DLS0011157,SM,
DLS0011158,SM,
DLS0011159,SM,
DLS0011160,SM,
DLS0011161,ML,
DLS0011162,ML,
DLS0011163,ML,
DLS0011164,ML,
DLS0011165,ML,
DLS0011166,ML,
